"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.keiruaprod.fr/213.186.33.4","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHIDCCBgigAwIBAgISA6yLwVePi6Gg4e5nYpqcqsboMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQwODIxMTIyMDE3WhcNMjQxMTE5MTIyMDE2WjAYMRYwFAYDVQQDEw1rZWlydWFwcm9kLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4YB0VeHYj0waEWYsFV7rJbgzNbWVnuuNg23i5uxqtrTtSPaFaEf62ABmSmcNbuynY7tvtLnZuHBrdKr9v+asFfT9qJCvu5LcQww2eCgs9Ek0wlArGzChMWa9AVb/2RrBY57h64WP7jDhoevFMR/kTFECaJkK1XLacPM0I2AoNmxS7UJ9D4m4uICJPLuUit8aWIgG88wkkomfJTznXKDBHUmO/Zi3ocSPbujr30IWEchdBfON8FlmfKc+FitThdFbaMRfLeQaYPj3YS3cSrwVAp/MNsKDqkCoa9omFMHhpM43wQcCUOfoL9FWctetaYwx52Jj3K7nXBCCBTNFZtKm2wIDAQABo4IERzCCBEMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSls+o2WCXfuP3A8bN+V28e3BrmUjAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMIICSwYDVR0RBIICQjCCAj6CFzE0N2NvbG9ycy5rZWlydWFwcm9kLmZyghcyMDQ4Y3JhemUua2VpcnVhcHJvZC5mcoISYmxvZy5rZWlydWFwcm9kLmZyghxjaGFtcGlvbi1tYXRocy5rZWlydWFwcm9kLmZyghdlbmdsaXNoMjAua2VpcnVhcHJvZC5mcoIUZm91bGVzLmtlaXJ1YXByb2QuZnKCFWZyYWdtZW50c2RlcGxhbmV0ZS5mcoINa2VpcnVhcHJvZC5mcoISbGQyMy5rZWlydWFwcm9kLmZyghdvbm1hbmdlb3Uua2VpcnVhcHJvZC5mcoIVcmFuZDEwMC5rZWlydWFwcm9kLmZyggp0ZWNoamFtLmZyghV0d2lzdGVyLmtlaXJ1YXByb2QuZnKCG3d3dy4xNDdjb2xvcnMua2VpcnVhcHJvZC5mcoIbd3d3LjIwNDhjcmF6ZS5rZWlydWFwcm9kLmZyghZ3d3cuYmxvZy5rZWlydWFwcm9kLmZygiB3d3cuY2hhbXBpb24tbWF0aHMua2VpcnVhcHJvZC5mcoIbd3d3LmVuZ2xpc2gyMC5rZWlydWFwcm9kLmZyghh3d3cuZm91bGVzLmtlaXJ1YXByb2QuZnKCGXd3dy5mcmFnbWVudHNkZXBsYW5ldGUuZnKCEXd3dy5rZWlydWFwcm9kLmZyghZ3d3cubGQyMy5rZWlydWFwcm9kLmZyght3d3cub25tYW5nZW91LmtlaXJ1YXByb2QuZnKCDnd3dy50ZWNoamFtLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGRdRcAdgAABAMASDBGAiEAnTCfH4o9F/3A9xdxJ2NZUUhboljtlwmLeOExqIhTvM4CIQDy/WofrE4kYTx1JXZXGlP21mkA4HZnc+wfZ5WKBIInNwB2ABmYEHEJ8NZSLjCA0p4/ZLuDbijM+Q9Sju7fzko/FrTKAAABkXUXAPYAAAQDAEcwRQIgVATvh1MJLqlP6e99C9QlDC7qCRDB2ENK+1soVbRFUDACIQDoFkc5A/bZ5GLd9QRKkqRGJF+AE3u8xuw2SmqPrKQLizANBgkqhkiG9w0BAQsFAAOCAQEAuN/e96gUCBkXB87sYXXDkfjmaToRr1729JhOL79QUStkAtCRHptPYJ7t2SHT/2uBuf/jSAKfn+x0rsZYPZal2m76wpFScUcgWS2ibgSEnRo6VICQa/exSYYs/t5nVm9a2Cme0RMfxp3RxGdApR/MzCwosxHfUrCwnKcc5wTUK0Yi1PZ4YKtw0+vFnc6zfE6LxaP0uAkFdhFivjrRHRZ9gKn0S14fZ7vrx8iLhXCDFcTg/qmwg06NaOwL90hFeoNc6zfRKJQmgamXjuIQKUI+t3u83d3Dpluv876uVXK5oqg1L+oIy6Xp9xjkAlhIjCMriyQTrLFuIn51JwqWjeiL3Q==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.keiruaprod.fr/213.186.33.4","443","OK","keiruaprod.fr","",""
"cert_commonName_wo_SNI","www.keiruaprod.fr/213.186.33.4","443","INFO","cluster003.hosting.ovh.net","",""
"cert_subjectAltName","www.keiruaprod.fr/213.186.33.4","443","INFO","147colors.keiruaprod.fr 2048craze.keiruaprod.fr blog.keiruaprod.fr champion-maths.keiruaprod.fr english20.keiruaprod.fr foules.keiruaprod.fr fragmentsdeplanete.fr keiruaprod.fr ld23.keiruaprod.fr onmangeou.keiruaprod.fr rand100.keiruaprod.fr techjam.fr twister.keiruaprod.fr www.147colors.keiruaprod.fr www.2048craze.keiruaprod.fr www.blog.keiruaprod.fr www.champion-maths.keiruaprod.fr www.english20.keiruaprod.fr www.foules.keiruaprod.fr www.fragmentsdeplanete.fr www.keiruaprod.fr www.ld23.keiruaprod.fr www.onmangeou.keiruaprod.fr www.techjam.fr","",""
"cert_trust","www.keiruaprod.fr/213.186.33.4","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.keiruaprod.fr/213.186.33.4","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.keiruaprod.fr/213.186.33.4","443","INFO","no","",""
"cert_expirationStatus","www.keiruaprod.fr/213.186.33.4","443","OK","30 >= 30 days","",""
"cert_notBefore","www.keiruaprod.fr/213.186.33.4","443","INFO","2024-08-21 12:20","",""
"cert_notAfter","www.keiruaprod.fr/213.186.33.4","443","OK","2024-11-19 12:20","",""
