"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.keiruaprod.fr/213.186.33.4","443","INFO","-----BEGIN CERTIFICATE-----\nMIIG/zCCBeegAwIBAgISBNZGESj5E7nU5B8f/3eSAhNDMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMTcxNTI5NDRaFw0yNDA0MTYxNTI5NDNaMBgxFjAUBgNVBAMTDWtlaXJ1YXByb2QuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDIWDxV8rbMF8HC8RlMzYo0m7nuHv2QTTSUJqwavY3QQANO49cR5SVVwG/6xT1a2UTqzDexfbhAAZfnZAdYuCvbchRA7V+rS/24htTNxmyQe01R6pvGrBeVft2VErsRYzJcY7gmI3oVbVUueYki/q/P6Om68EYMmBKG1egUPgVTAmqojIfqUDc7NJUJlaKPWjdz3G5un+eiaMdvuXE8bvrJ5T6c3Y0cAptvjJPXsJLAfmjwcaUT8ZW+S7RuFZ/cATfEnW2ffvnd9+4guqPwnhLcrXxkL2UIGggt7Pq822CxNCGajqz8nw+8ijLRcO4d4IeupZXPauooF0j+7AQaRRwXAgMBAAGjggQnMIIEIzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFJsmxbX7xL84YuradcFonfLLqVDLMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMIICLwYDVR0RBIICJjCCAiKCFzE0N2NvbG9ycy5rZWlydWFwcm9kLmZyghcyMDQ4Y3JhemUua2VpcnVhcHJvZC5mcoISYmxvZy5rZWlydWFwcm9kLmZyghxjaGFtcGlvbi1tYXRocy5rZWlydWFwcm9kLmZyghdlbmdsaXNoMjAua2VpcnVhcHJvZC5mcoIUZm91bGVzLmtlaXJ1YXByb2QuZnKCFWZyYWdtZW50c2RlcGxhbmV0ZS5mcoINa2VpcnVhcHJvZC5mcoISbGQyMy5rZWlydWFwcm9kLmZyghdvbm1hbmdlb3Uua2VpcnVhcHJvZC5mcoIVcmFuZDEwMC5rZWlydWFwcm9kLmZyghV0d2lzdGVyLmtlaXJ1YXByb2QuZnKCG3d3dy4xNDdjb2xvcnMua2VpcnVhcHJvZC5mcoIbd3d3LjIwNDhjcmF6ZS5rZWlydWFwcm9kLmZyghZ3d3cuYmxvZy5rZWlydWFwcm9kLmZygiB3d3cuY2hhbXBpb24tbWF0aHMua2VpcnVhcHJvZC5mcoIbd3d3LmVuZ2xpc2gyMC5rZWlydWFwcm9kLmZyghh3d3cuZm91bGVzLmtlaXJ1YXByb2QuZnKCGXd3dy5mcmFnbWVudHNkZXBsYW5ldGUuZnKCEXd3dy5rZWlydWFwcm9kLmZyghZ3d3cubGQyMy5rZWlydWFwcm9kLmZyght3d3cub25tYW5nZW91LmtlaXJ1YXByb2QuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAY0YQda2AAAEAwBGMEQCIFA08nmMEFWmcaIJiwazQwSuYNNloPP8+LHWsZkE44pEAiAD02wYfGP4QwxCZF1klMP0gr9K9oVF1WwK+JTAey+LuAB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABjRhB1w8AAAQDAEcwRQIhALanC7nfQu5Gva3Yu/k53BZzqYplYVFOKvh1XOFT2tv/AiBADfK2uZs0T3FeY44SCSydj1JaJTfPW+cFF0PQLX6wPDANBgkqhkiG9w0BAQsFAAOCAQEAig/NoC6mzL9WfSN1DSCaMfPGik6m+Q8bD/IqrdnZZ+HVzV3KZHUJt4DTohiVgQ+VSXtJpNzAbBQN9qEPCWuJxgkHQ98OSWIbeU1aRQnZyAEHZW4yBn+XttMv10rJM3ZDEHyAJi2sWnxQiEVWogHb8LoJqgIv8w3U3zl/wzPgb2PzND3C7JSOqIKdiNRxvYYM7aBKoGp8xZclHe3NhcryMI3SXje8ndl6aPKkioEEb9XZjtQPScFT5x5z4nbAETYk9cQ7A0QaYG/ASsZxUflHVnwOIxU1iOERw4ph54Io9D/uqUgaVx0S1siFxX+uk5D7XsCfbtlIllnxzOi0rHC2Ww==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.keiruaprod.fr/213.186.33.4","443","OK","keiruaprod.fr","",""
"cert_commonName_wo_SNI","www.keiruaprod.fr/213.186.33.4","443","INFO","cluster003.hosting.ovh.net","",""
"cert_subjectAltName","www.keiruaprod.fr/213.186.33.4","443","INFO","147colors.keiruaprod.fr 2048craze.keiruaprod.fr blog.keiruaprod.fr champion-maths.keiruaprod.fr english20.keiruaprod.fr foules.keiruaprod.fr fragmentsdeplanete.fr keiruaprod.fr ld23.keiruaprod.fr onmangeou.keiruaprod.fr rand100.keiruaprod.fr twister.keiruaprod.fr www.147colors.keiruaprod.fr www.2048craze.keiruaprod.fr www.blog.keiruaprod.fr www.champion-maths.keiruaprod.fr www.english20.keiruaprod.fr www.foules.keiruaprod.fr www.fragmentsdeplanete.fr www.keiruaprod.fr www.ld23.keiruaprod.fr www.onmangeou.keiruaprod.fr","",""
"cert_trust","www.keiruaprod.fr/213.186.33.4","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.keiruaprod.fr/213.186.33.4","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.keiruaprod.fr/213.186.33.4","443","INFO","no","",""
"cert_expirationStatus","www.keiruaprod.fr/213.186.33.4","443","OK","37 >= 30 days","",""
"cert_notBefore","www.keiruaprod.fr/213.186.33.4","443","INFO","2024-01-17 15:29","",""
"cert_notAfter","www.keiruaprod.fr/213.186.33.4","443","OK","2024-04-16 15:29","",""
"cert_extlifeSpan","www.keiruaprod.fr/213.186.33.4","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.keiruaprod.fr/213.186.33.4","443","INFO","not present","",""
"cert_crlDistributionPoints","www.keiruaprod.fr/213.186.33.4","443","INFO","--","",""
"cert_ocspURL","www.keiruaprod.fr/213.186.33.4","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","www.keiruaprod.fr/213.186.33.4","443","LOW","not offered","",""
"cert_mustStapleExtension","www.keiruaprod.fr/213.186.33.4","443","INFO","--","",""
"DNS_CAArecord","www.keiruaprod.fr/213.186.33.4","443","LOW","--","",""
"certificate_transparency","www.keiruaprod.fr/213.186.33.4","443","OK","yes (certificate extension)","",""
"certs_countServer","www.keiruaprod.fr/213.186.33.4","443","INFO","3","",""
"certs_list_ordering_problem","www.keiruaprod.fr/213.186.33.4","443","INFO","no","",""
"cert_caIssuers","www.keiruaprod.fr/213.186.33.4","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.keiruaprod.fr/213.186.33.4","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.keiruaprod.fr/213.186.33.4","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","www.keiruaprod.fr/213.186.33.4","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","www.keiruaprod.fr/213.186.33.4","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","www.keiruaprod.fr/213.186.33.4","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.keiruaprod.fr/213.186.33.4","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert <#2>","www.keiruaprod.fr/213.186.33.4","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFYDCCBEigAwIBAgIQQAF3ITfU6UK47naqPGQKtzANBgkqhkiG9w0BAQsFADA/MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMTDkRTVCBSb290IENBIFgzMB4XDTIxMDEyMDE5MTQwM1oXDTI0MDkzMDE4MTQwM1owTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQCt6CRz9BQ385ueK1coHIe+3LffOJCMbjzmV6B493XCov71am72AE8o295ohmxEk7axY/0UEmu/H9LqMZshftEzPLpI9d1537O4/xLxIZpLwYqGcWlKZmZsj348cL+tKSIG8+TA5oCu4kuPt5l+lAOf00eXfJlII1PoOK5PCm+DLtFJV4yAdLbaL9A4jXsDcCEbdfIwPPqPrt3aY6vrFk/CjhFLfs8L6P+1dy70sntK4EwSJQxwjQMpoOFTJOwT2e4ZvxCzSow/iaNhUd6shweU9GNx7C7ib1uYgeGJXDR5bHbvO5BieebbpJovJsXQEOEO3tkQjhb7t/eo98flAgeYjzYIlefiN5YNNnWe+w5ysR2bvAP5SQXYgd0FtCrWQemsAXaVCg/Y39W9Eh81LygXbNKYwagJZHduRze6zqxZXmidf3LWicUGQSk+WT7dJvUkyRGnWqNMQB9GoZm1pzpRboY7nn1ypxIFeFntPlF4FQsDj43QLwWyPntKHEtzBRL8xurgUBN8Q5N0s8p0544fAQjQMNRbcTa0B7rBMDBcSLeCO5imfWCKoqMpgsy6vYMEG6KDA0Gh1gXxG8K28Kh8hjtGqEgqiNx2mna/H2qlPRmP6zjzZN7IKw0KKP/32+IVQtQi0Cdd4Xn+GOdwiK1O5tmLOsbdJ1Fu/7xk9TNDTwIDAQABo4IBRjCCAUIwDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAQYwSwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5pZGVudHJ1c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTEp7Gkeyxx+tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEEAYLfEwEBATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2VuY3J5cHQub3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0LmNvbS9EU1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFHm0WeZ7tuXkAXOACIjIGlj26ZtuMA0GCSqGSIb3DQEBCwUAA4IBAQAKcwBslm7/DlLQrt2M51oGrS+o44+/yQoDFVDC5WxCu2+b9LRPwkSICHXM6webFGJueN7sJ7o5XPWioW5WlHAQU7G75K/QosMrAdSW9MUgNTP52GE24HGNtLi1qoJFlcDyqSMo59ahy2cI2qBDLKobkx/J3vWraV0T9VuGWCLKTVXkcGdtwlfFRjlBz4pYg1htmf5X6DYO8A4jqv2Il9DjXA6USbW1FzXSLr9Ohe8Y4IWS6wY7bCkjCWDcRQJMEhg76fsO3txE+FiYruq9RUWhiF1myv4Q6W+CyBFCDfvp7OOGAN6dEOM4+qR9sdjoSYKEBpsr6GtPAQw4dy753ec5\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","www.keiruaprod.fr/213.186.33.4","443","INFO","6D99FB265EB1C5B3744765FCBC648F3CD8E1BFFAFDC4C2F99B9D47CF7FF1C24F","",""
"intermediate_cert_notBefore <#2>","www.keiruaprod.fr/213.186.33.4","443","INFO","2021-01-20 19:14","",""
"intermediate_cert_notAfter <#2>","www.keiruaprod.fr/213.186.33.4","443","OK","2024-09-30 18:14","",""
"intermediate_cert_expiration <#2>","www.keiruaprod.fr/213.186.33.4","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","www.keiruaprod.fr/213.186.33.4","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","www.keiruaprod.fr/213.186.33.4","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.keiruaprod.fr/213.186.33.4","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.keiruaprod.fr/213.186.33.4","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","www.keiruaprod.fr/213.186.33.4","443","INFO","1710030251","",""
"HSTS","www.keiruaprod.fr/213.186.33.4","443","LOW","not offered","",""
"HPKP","www.keiruaprod.fr/213.186.33.4","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.keiruaprod.fr/213.186.33.4","443","INFO","Apache","",""
"banner_application","www.keiruaprod.fr/213.186.33.4","443","INFO","No application banner found","",""
"cookie_count","www.keiruaprod.fr/213.186.33.4","443","INFO","0 at '/'","",""
"security_headers","www.keiruaprod.fr/213.186.33.4","443","MEDIUM","--","",""
"banner_reverseproxy","www.keiruaprod.fr/213.186.33.4","443","INFO","--","","CWE-200"
"heartbleed","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.keiruaprod.fr/213.186.33.4","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.keiruaprod.fr/213.186.33.4","443","OK","supported","","CWE-310"
"secure_client_renego","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.keiruaprod.fr/213.186.33.4","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.keiruaprod.fr/213.186.33.4","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.keiruaprod.fr/213.186.33.4","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=820D0B975710C4E599D5DE98580E6123C1008AD22E5495FBB12959E950ED76BB","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.keiruaprod.fr/213.186.33.4","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.keiruaprod.fr/213.186.33.4","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.keiruaprod.fr/213.186.33.4","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","www.keiruaprod.fr/213.186.33.4","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.keiruaprod.fr/213.186.33.4","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.keiruaprod.fr/213.186.33.4","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_win81","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_winphone81","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","www.keiruaprod.fr/213.186.33.4","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","www.keiruaprod.fr/213.186.33.4","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
